id;G0QA_TRR_INDEX_VAL_LOC;GVQ0_TRR_INDEX_VAL_LOC;G6O2_TRR_INDEX_VAL_LOC;GVQI_TRR_INDEX_VAL_LOC;G6QI_TRR_INDEX_VAL_LOC;C01A_TRR_INDEX_VAL_LOC;CV10_TRR_INDEX_VAL_LOC;GS1V_TRR_INDEX_VAL_LOC;M0A0_TRR_INDEX_VAL_LOC;SPX_INDEX
31/01/2006;176.246;841.046;435.841;126.789;180.301;100;353.795;141.721;1267.487;1280.09
1/02/2006;176.239;840.106;434.86;126.547;179.725;99.984;353.337;141.567;1265.328;1282.46
2/02/2006;176.259;840.087;434.97;126.434;179.543;99.982;353.394;141.582;1265.584;1270.84
3/02/2006;176.284;840.281;435.647;126.561;179.987;99.996;353.455;141.591;1266.487;1264.03
6/02/2006;176.317;840.15;435.53;126.573;179.991;100.033;353.452;141.574;1266.868;1265.02
7/02/2006;176.342;840.287;435.089;126.401;179.539;100.04;353.475;141.588;1266.94;1254.78
8/02/2006;176.348;839.754;434.4;126.205;179.004;100.05;353.207;141.492;1265.893;1265.65
9/02/2006;176.359;839.757;434.851;126.237;179.303;100.054;353.263;141.495;1267.202;1263.78
10/02/2006;176.371;839.195;433.876;126.094;178.837;100.059;352.992;141.396;1265.314;1266.99
13/02/2006;176.434;839.679;434.207;126.003;178.647;100.1;353.211;141.483;1265.629;1262.86
14/02/2006;176.452;839.317;433.461;125.79;177.941;100.115;353.057;141.417;1263.904;1275.53
15/02/2006;176.484;839.417;433.67;125.844;178.084;100.125;353.107;141.436;1264.822;1280
16/02/2006;176.506;839.622;433.88;126.071;178.567;100.136;353.268;141.479;1266.028;1289.38
17/02/2006;176.566;840.474;435.321;126.366;179.358;100.154;353.715;141.622;1270.035;1287.24
20/02/2006;176.61;840.749;435.506;126.341;179.311;100.198;353.866;141.674;1270.505;1287.24
21/02/2006;176.614;840.264;434.927;126.345;179.218;100.213;353.594;141.588;1269.407;1283.03
22/02/2006;176.642;840.735;435.766;126.426;179.596;100.217;353.79;141.654;1271.356;1292.67
23/02/2006;176.652;839.893;434.66;126.261;179.224;100.23;353.388;141.512;1270.413;1287.79
24/02/2006;176.687;840.092;434.547;126.496;179.599;100.237;353.408;141.534;1271.803;1289.43
27/02/2006;176.732;840.056;434.132;126.316;179.1;100.279;353.444;141.543;1271.918;1294.12
28/02/2006;176.763;841.108;435.477;126.527;179.728;100.3;353.935;141.723;1273.964;1280.66
1/03/2006;176.766;840.772;434.591;126.487;179.4;100.22;353.872;141.71;1271.397;1291.24
2/03/2006;176.778;840.34;433.421;126.612;179.356;100.228;353.63;141.636;1268.196;1289.14
3/03/2006;176.798;839.743;432.206;126.51;179.039;100.234;353.322;141.531;1266.198;1287.23
6/03/2006;176.842;839.461;431.106;126.245;178.121;100.273;353.134;141.474;1263.254;1278.26
7/03/2006;176.861;839.537;431.265;126.199;178.012;100.277;353.151;141.473;1263.077;1275.88
8/03/2006;176.891;839.866;431.357;125.997;177.418;100.294;353.312;141.545;1263.508;1278.47
9/03/2006;176.914;840.016;431.619;125.973;177.465;100.304;353.366;141.551;1265.5;1272.23
10/03/2006;176.94;839.723;431.133;125.847;177.217;100.317;353.246;141.501;1265.744;1281.58
13/03/2006;176.978;839.782;430.881;125.954;177.232;100.354;353.31;141.53;1263.019;1284.13
14/03/2006;177.033;841.677;433.135;126.381;178.297;100.372;354.239;141.852;1268.441;1297.48
15/03/2006;177.045;841.557;432.498;126.395;178.147;100.398;354.214;141.829;1266.743;1303.02
16/03/2006;177.1;843.485;434.924;126.816;179.101;100.412;355.082;142.142;1271.459;1305.33
17/03/2006;177.128;843.194;434.279;126.699;178.706;100.437;354.957;142.095;1270.083;1307.25
20/03/2006;177.182;843.659;434.944;126.7;178.703;100.48;355.195;142.17;1271.483;1305.08
21/03/2006;177.179;842.213;433.279;126.335;177.794;100.482;354.507;141.923;1267.863;1297.23
22/03/2006;177.2;842.198;433.569;126.34;177.964;100.484;354.519;141.931;1269.098;1305.04
23/03/2006;177.223;841.696;432.607;126.312;177.88;100.493;354.26;141.841;1267.817;1301.67
24/03/2006;177.278;843.055;434.431;126.479;178.371;100.504;354.909;142.063;1271.497;1302.95
27/03/2006;177.325;842.904;433.92;126.431;178.114;100.561;354.806;142.036;1270.95;1301.61
28/03/2006;177.315;841.492;431.894;126.24;177.393;100.568;354.105;141.799;1266.868;1293.22
29/03/2006;177.336;841.238;431.188;126.266;177.157;100.566;353.93;141.755;1265.067;1302.89
30/03/2006;177.351;840.708;430.089;126.276;176.903;100.576;353.632;141.658;1262.048;1300.25
31/03/2006;177.393;841.132;430.37;126.291;176.928;100.712;353.752;141.698;1262.646;1294.83
