ID;Cash;Tips;Corporativos;MBS;Equity;Emergentes
2006-01-31;104.63;101.7361;353.795;1267.487;1937.93;192.57
2006-02-01;104.643;101.5331;353.337;1265.328;1941.75;192.37
2006-02-02;104.655;101.4291;353.394;1265.584;1924.67;192.46
2006-02-03;104.671;101.5572;353.455;1266.487;1914.5;192.64
2006-02-06;104.707;101.5455;353.452;1266.868;1916.04;192.8
2006-02-07;104.717;101.403;353.475;1266.94;1900.58;192.74
2006-02-08;104.728;101.2656;353.207;1265.893;1917.84;192.57
2006-02-09;104.74;101.2917;353.263;1267.202;1915.1;192.66
2006-02-10;104.751;101.1812;352.992;1265.314;1920.0;192.75
2006-02-13;104.786;101.0935;353.211;1265.629;1914.02;192.88
2006-02-14;104.797;100.9195;353.057;1263.904;1933.46;192.73
2006-02-15;104.809;100.9776;353.107;1264.822;1940.69;192.84
2006-02-16;104.825;101.1707;353.268;1266.028;1955.06;192.89
2006-02-17;104.842;101.4085;353.715;1270.035;1951.83;193.31
2006-02-20;104.875;;353.866;1270.505;;193.45
2006-02-21;104.888;101.386;353.594;1269.407;1945.45;193.39
2006-02-22;104.901;101.4389;353.79;1271.356;1960.26;193.58
2006-02-23;104.912;101.314;353.388;1270.413;1953.37;193.53
2006-02-24;104.925;101.5018;353.408;1271.803;1956.14;193.59
2006-02-27;104.959;101.3456;353.444;1271.918;1963.58;193.66
2006-02-28;104.97;101.5172;353.935;1273.964;1943.19;194.04
2006-03-01;104.985;101.5317;353.872;1271.397;1959.77;193.88
2006-03-02;105.0;101.6054;353.63;1268.196;1956.6;193.51
2006-03-03;105.015;101.5495;353.322;1266.198;1953.74;193.14
2006-03-06;105.051;101.3246;353.134;1263.254;1940.2;192.9
2006-03-07;105.063;101.2838;353.151;1263.077;1936.68;192.45
2006-03-08;105.078;101.1143;353.312;1263.508;1941.17;192.23
2006-03-09;105.092;101.0933;353.366;1265.5;1931.73;192.2
2006-03-10;105.105;100.9964;353.246;1265.744;1945.93;192.03
2006-03-13;105.14;101.087;353.31;1263.019;1950.39;191.99
2006-03-14;105.155;101.4206;354.239;1268.441;1970.66;192.5
2006-03-15;105.165;101.444;354.214;1266.743;1979.21;192.51
2006-03-16;105.181;101.7779;355.082;1271.459;1982.76;193.1
2006-03-17;105.194;101.6857;354.957;1270.083;1985.69;193.15
2006-03-20;105.227;101.7026;355.195;1271.483;1982.4;193.36
2006-03-21;105.235;101.3986;354.507;1267.863;1970.5;193.1
2006-03-22;105.248;101.4102;354.519;1269.098;1982.4;193.04
2006-03-23;105.263;101.3725;354.26;1267.817;1977.29;192.95
2006-03-24;105.279;101.5086;354.909;1271.497;1979.24;193.15
2006-03-27;105.315;101.4642;354.806;1270.95;1977.19;193.19
2006-03-28;105.326;101.3026;354.105;1266.868;1964.47;192.6
2006-03-29;105.34;101.3278;353.93;1265.067;1979.51;192.18
2006-03-30;105.356;101.3375;353.632;1262.048;1975.6;192.0
2006-03-31;105.37;101.3343;353.752;1262.646;1967.38;191.94
2006-04-03;105.407;101.3363;353.713;1261.668;1971.93;191.89
2006-04-04;105.418;101.3088;353.926;1262.644;1984.47;191.94
2006-04-05;105.433;101.5095;354.359;1265.488;1993.21;192.1
2006-04-06;105.444;101.4659;354.055;1263.328;1989.87;191.82
2006-04-07;105.46;101.3022;353.559;1259.196;1969.3;191.41
2006-04-10;105.497;101.4826;353.731;1259.605;1971.03;191.28
2006-04-11;105.511;101.618;354.029;1261.416;1956.12;191.42
2006-04-12;105.523;101.5601;353.693;1259.343;1958.49;191.29
2006-04-13;105.544;101.4336;353.323;1256.134;1960.01;190.93
2006-04-17;105.593;101.7247;353.876;1258.905;1954.25;191.1
2006-04-18;105.607;101.9957;354.47;1262.499;1988.18;191.37
2006-04-19;105.622;102.1184;354.29;1260.816;1991.84;191.34
2006-04-20;105.636;101.8854;354.161;1260.084;1994.23;191.36
2006-04-21;105.65;101.9738;354.164;1262.506;1993.99;191.49
2006-04-24;105.687;101.8892;354.511;1264.13;1989.2;191.83
2006-04-25;105.697;101.5949;353.953;1259.446;1979.51;191.49
2006-04-26;105.709;101.553;353.582;1257.378;1985.29;191.2
2006-04-27;105.723;101.8085;354.231;1260.24;1992.39;191.38
2006-04-28;105.741;102.086;354.594;1262.247;1993.79;191.67
2006-04-30;105.765;;354.698;1262.577;;191.74
2006-05-01;105.777;102.0107;354.236;1258.744;1985.55;191.52
2006-05-02;105.79;102.0459;354.383;1259.358;1997.75;191.51
2006-05-03;105.801;101.8993;354.215;1257.038;1989.97;191.42
2006-05-04;105.816;101.7887;354.045;1257.136;1996.74;191.38
2006-05-05;105.831;101.9905;354.456;1260.003;2017.34;191.66
2006-05-08;105.869;101.9775;354.384;1259.589;2015.84;191.82
2006-05-09;105.879;102.0829;354.423;1259.785;2016.6;191.81
2006-05-10;105.893;102.1398;354.316;1259.701;2013.99;191.92
2006-05-11;105.913;102.2706;354.314;1258.428;1988.56;191.75
2006-05-12;105.929;102.1522;354.119;1256.301;1966.27;191.38
2006-05-15;105.966;102.0805;354.574;1257.258;1971.45;191.38
2006-05-16;105.984;102.2195;355.033;1260.655;1967.79;191.71
2006-05-17;105.996;102.2174;354.606;1257.989;1935.18;191.35
2006-05-18;106.011;102.365;355.222;1262.299;1922.32;191.64
2006-05-19;106.026;102.2465;355.17;1261.886;1930.27;191.85
2006-05-22;106.066;102.4054;355.485;1262.882;1922.72;191.82
2006-05-23;106.078;102.3966;355.254;1261.687;1914.38;191.57
2006-05-24;106.092;102.3986;355.594;1262.982;1917.48;191.4
2006-05-25;106.106;102.3688;355.333;1261.433;1939.52;191.28
2006-05-26;106.122;102.4355;355.548;1263.169;1950.87;191.42
2006-05-29;106.159;;355.704;1263.687;;191.53
2006-05-30;106.174;102.524;355.485;1261.637;1920.09;191.35
2006-05-31;106.188;102.4843;355.045;1259.387;1936.41;191.16
